Week,Weekly_cases,Weekly_deaths,Case_change,Case_pct_change,Case_spike
Week_1,0,0,#VALUE!,#VALUE!,#VALUE!
Week_2,0,0,0,0,YES
Week_3,0,0,0,0,YES
Week_4,0,0,0,0,YES
Week_5,0,0,0,0,YES
Week_6,0,0,0,0,YES
Week_7,3,0,3,0,YES
Week_8,11,1,8,2.666666667,YES
Week_9,25,4,14,1.272727273,YES
Week_10,15,1,-10,-0.4,
Week_11,164,14,149,9.933333333,YES
Week_12,1013,30,849,5.176829268,YES
Week_13,2541,70,1528,1.508390918,YES
Week_14,3331,43,790,0.31090122,
Week_15,4616,23,1285,0.385770039,
Week_16,6103,83,1487,0.322140381,
Week_17,8916,117,2813,0.460920859,
Week_18,11554,158,2638,0.295872589,
Week_19,16848,202,5294,0.458196296,
Week_20,19725,266,2877,0.170762108,
Week_21,23624,293,3899,0.197667934,
Week_22,24171,277,547,0.023154419,
Week_23,26598,306,2427,0.100409582,
Week_24,22876,309,-3722,-0.139935333,
Week_25,21456,260,-1420,-0.062073789,
Week_26,19664,294,-1792,-0.083519761,
Week_27,18940,284,-724,-0.036818552,
Week_28,14480,232,-4460,-0.235480465,
Week_29,19824,246,5344,0.369060773,
Week_30,18593,268,-1231,-0.062096449,
Week_31,17056,301,-1537,-0.082665519,
Week_32,15381,269,-1675,-0.09820591,
Week_33,13550,242,-1831,-0.119042975,
Week_34,11593,230,-1957,-0.144428044,
Week_35,11173,221,-420,-0.036228759,
Week_36,9635,207,-1538,-0.137653271,
Week_37,9672,189,37,0.003840166,
Week_38,9808,153,136,0.014061208,
Week_39,10172,130,364,0.037112561,
Week_40,9948,138,-224,-0.022021235,
Week_41,11085,143,1137,0.114294331,
Week_42,11189,123,104,0.009382048,
Week_43,13442,148,2253,0.201358477,
Week_44,15351,212,1909,0.142017557,
Week_45,15277,226,-74,-0.004820533,
Week_46,14681,217,-596,-0.039012895,
Week_47,11737,226,-2944,-0.200531299,
Week_48,9027,203,-2710,-0.230893755,
Week_49,7628,172,-1399,-0.154979506,
Week_50,6402,156,-1226,-0.16072365,
Week_51,6012,146,-390,-0.060918463,
Week_52,4777,117,-1235,-0.205422488,
Week_53,3757,122,-1020,-0.213523132,
Week_54,3101,90,-656,-0.1746074,
Week_55,2608,77,-493,-0.158980974,
Week_56,2724,75,116,0.044478528,
Week_57,2667,65,-57,-0.02092511,
Week_58,3386,49,719,0.269591301,
Week_59,5175,68,1789,0.528352038,YES
Week_60,9647,112,4472,0.864154589,YES
Week_61,18056,155,8409,0.871669949,YES
Week_62,30487,283,12431,0.688469207,YES
Week_63,47983,401,17496,0.573883951,YES
Week_64,43892,540,-4091,-0.085259363,
Week_65,28890,696,-15002,-0.341793493,
Week_66,22554,622,-6336,-0.219314642,
Week_67,12724,450,-9830,-0.435842866,
Week_68,10059,290,-2665,-0.209446715,
Week_69,6340,203,-3719,-0.36971866,
Week_70,9956,210,3616,0.570347003,YES
Week_71,10600,236,644,0.064684612,
